,,,,,,,
NAME:,DESCRIPTION:,TYPE,BASIC/PREM,# OF CARDS,COMMON/UNCOMMON,,%
ANTIDOTE X1,,HEAL,BASIC,7,COMMON,5,5.00%
ANTIDOTE X2,,HEAL,BASIC,6,ULTRA RARE,2,2.00%
ATTACK X1,,ATTACK,BASIC,21,COMMON,10,10.00%
ATTACK X2,,ATTACK,BASIC,6,ULTRA RARE,2,2.00%
BOOMERANG FULL,,ATTACK,BASIC,6,SECRET RARE,1,1.00%
ABANDON,,OTHER,BASIC,,SUPER RARE,3,3.00%
DEFENCE - BASIC,,DEFENSE,BASIC,7,COMMON,10,10.00%
DEFENCE - COUNTER,,DEFENSE,BASIC,1,SUPER RARE,3,3.00%
DODGE - BASIC,,DEFENSE,BASIC,,SUPER RARE,3,3.00%
FIRE FLAME X1,,ATTACK,BASIC,1,COMMON,6,6.00%
HEAL H10,,HEAL,BASIC,6,COMMON,5,5.00%
HEAL H20,,HEAL,BASIC,6,ULTRA RARE,2,2.00%
HEAL CLEANSE+RESTORE,,HEAL,BASIC,1,SECRET RARE,1,1.00%
LIGHTNING X1,,ATTACK,BASIC,6,COMMON,5,5.00%
LIGHTNING X2,,ATTACK,BASIC,6,ULTRA RARE,2,2.00%
MISDIRECT,,ATTACK,BASIC,6,ULTRA RARE,2,2.00%
POISON X1,,ATTACK,BASIC,17,COMMON,6,6.00%
POISON X2,,ATTACK,BASIC,6,ULTRA RARE,2,2.00%
RETREAT,,OTHERS,BASIC,6,UNCOMMON,4,4.00%
REVIVE,,HEAL,BASIC,6,ULTRA RARE,1,1.00%
SHIELD BASIC +25 HP,,DEFENSE,BASIC,6,COMMON,5,5.00%
SLEEPY X1,,OTHERS,BASIC,6,SUPER RARE,3,3.00%
SOUL ALLIANCE,,OTHERS,BASIC,6,COMMON,5,5.00%
TIME MACHINE,,OTHERS,BASIC,1,ULTRA RARE,2,2.00%
VISION X1,,OTHERS,BASIC,6,SUPER RARE,3,3.00%
VITALITY GAIN V10,,HEAL,BASIC,6,UNCOMMON,4,4.00%
VITALITY GAIN V20,,HEAL,BASIC,6,SUPER RARE,2,2.00%
X-CHANGE X1,,OTHER,BASIC,6,SECRET RARE,1,1.00%
,,,,,,,
TOTAL,,,,157,,100,
,,,,,,,
ATTACK,,,,,,,36.00%
DEFENSE,,,,,,,21.00%
HEAL,,,,,,,22.00%
OTHERS,,,,,,,21.00%
,,,,,,,100.00%
NAME:,,TYPE:,,,,,
ANTIDOTE FULL,,HEAL,PREM,1,SECRET RARE,2,
DEFENCE FULL GUARD,,DEFENSE,PREM,,ULTRA RARE,4,
DODGE - COUNTER,,DEFENSE,PREM,,SUPER RARE,3,
DODGE - FULL,,DEFENSE,PREM,,,,
DODGE - FULL GUARD,,DEFENSE,PREM,,,,
FIRE FLAME X2,,ATTACK,PREM,,SUPER RARE,3,
FREEZE X2,,OTHERS,PREM,,RARE,4,
VISION FULL,,OTHERS,PREM,5,SUPER RARE,3,
BACK STAB,,ATTACK,PREM,,RARE,4,
SHIELD FIRE + 50HP,,DEFENSE,PREM,,ULTRA RARE,2,
SHIELD SACRED PROTECTION,,DEFENSE,PREM,,ULTRA RARE,2,
SHIELD ADVANCE +100HP,,DEFENSE,PREM,,SECRET RARE,1,
SLEEPY X2,,OTHERS,PREM,,SUPER RARE,3,
VAMPIRE LIFE STEAL,,ATTACK,PREM,,SECRET RARE,1,
DRAIN,,ATTACK,PREM,,ULTRA RARE,2,
BACK STAB,,ATTACK,PREM,,RARE,3,
VITALITY GAIN V30,,HEAL,PREM,,ULTRA RARE,2,
VITALITY GAIN V30,,HEAL,PREM,,ULTRA RARE,2,
HEAL H30,,HEAL,BASIC,6,SUPER RARE,3,3.00%
HEAL H40,,HEAL,BASIC,6,ULTRA RARE,2,2.00%
"""+DEFENCE D20",,DEFENSE,PREM,,,,
"""+DEFENCE D20",,DEFENSE,PREM,,,,
"""+DEFENCE D20",,DEFENSE,PREM,,,,
"""+DEFENCE D20",,DEFENSE,PREM,,,,
X-CHANGE FULL,,OTHERS,PREM,,ULTRA RARE,2,
TOTAL,,,,,,48,
,,,,,,,
COMMON CARDS,50,,,,,,
UNCOMMON CARDS,25,,,,,,
RARE,15,,,,,,
SUPER RARE,7,,,,,,
ULTRA RARE,2,,,,,,
SECRET RARE,1,,,,,,
,,,,,,,
TOTAL,100,,,,,,
