FATE CARD %,,,,,,
,,,,,,
FATE CARD #,,,,,TYPE:,# OF CARDS
1,,,,,COMMON,5
2,,,,,SECRET RARE,1
3,,,,,SECRET RARE,1
4,,,,,RARE,4
5,,,,,ULTRA RARE,2
6,,,,,ULTRA RARE,2
7,,,,,SECRET RARE,1
8,,,,,COMMON,5
9,,,,,SUPER RARE,3
10,,,,,ULTRA RARE,2
11,,,,,COMMON,5
12,,,,,ULTRA RARE,1
13,,,,,SECRET RARE,1
14,,,,,SECRET RARE,1
15,,,,,SECRET RARE,1
16,,,,,SECRET RARE,1
17,,,,,SECRET RARE,1
18,,,,,SECRET RARE,1
19,,,,,SECRET RARE,1
20,,,,,SECRET RARE,1
21,,,,,SECRET RARE,1
22,,,,,SECRET RARE,1
23,,,,,SECRET RARE,1
24,,,,,SECRET RARE,1
25,,,,,SECRET RARE,1
26,,,,,SECRET RARE,1
27,,,,,SECRET RARE,1
28,,,,,SECRET RARE,1
29,,,,,SECRET RARE,1
30,,,,,SECRET RARE,1
TOTAL:,,,,50,,50
